idx,psnr,elapsed_time
100,31.435987,110.66132664680481
101,32.089954,112.17389488220215
102,33.268173,112.25281119346619
103,31.501062,111.84444284439087
104,31.9825,112.72028088569641
105,30.96134,112.02046370506287
106,31.012669,111.92136001586914
107,31.155184,111.67615175247192
108,29.286495,111.72517609596252
109,32.19133,111.62478017807007
110,33.24306,111.54645657539368
111,33.137398,111.75955295562744
112,32.23723,112.22662401199341
113,28.820786,111.90102076530457
114,33.419376,111.95540356636047
115,32.436386,111.9142701625824

mean_psnr,31.761183,mean_time,111.87025101482868
std_psnr,1.2904907,std_time,0.4199444949337304
