idx,psnr,elapsed_time
100,29.42915,111.31770491600037
101,29.834713,111.74622535705566
102,30.01795,111.76048588752747
103,31.9401,111.85425329208374
104,29.654484,112.04672169685364
105,30.816114,112.05849719047546
106,26.879864,111.60725855827332
107,27.177814,111.02246332168579
108,30.583868,111.55876922607422
109,31.818478,112.51209807395935
110,32.188858,112.31033110618591
111,30.199842,111.85477328300476
112,31.035156,111.53999638557434
113,31.0446,111.56244921684265
114,31.693874,111.54598450660706
115,29.560646,111.55038785934448

mean_psnr,30.24222,mean_time,111.74052499234676
std_psnr,1.4867742,std_time,0.35640477450123986
