idx,psnr,elapsed_time
100,-4.9431577,109.16778039932251
101,-6.547377,109.3146584033966
102,27.882023,111.6042594909668
103,30.212782,111.34108138084412
104,26.048029,111.3650643825531
105,-5.1591115,109.37737584114075
106,24.219292,111.39088892936707
107,-6.4319334,109.29925155639648
108,26.903835,111.39087224006653
109,-3.3657768,111.16783094406128
110,30.743473,111.42474699020386
111,30.200184,111.1488573551178
112,29.475697,111.3727355003357
113,28.712456,111.285395860672
114,-1.2006214,109.4196047782898
115,28.669512,111.15149807929993

mean_psnr,15.963707,mean_time,110.70136888325214
std_psnr,16.050905,std_time,0.9416741413490534
