idx,psnr,elapsed_time
100,22.457449,136.43888545036316
101,-5.0478973,134.23334765434265
102,-5.863262,109.67363977432251
103,-5.602961,122.09073400497437
104,19.280052,136.39334845542908
105,24.448849,111.65782046318054
106,-5.4605126,110.07491207122803
107,-8.304856,109.76032614707947
108,22.077902,111.60044860839844
109,22.896954,123.97019171714783
110,-3.8431695,111.42850399017334
111,23.935764,135.96206974983215
112,-3.063495,109.95104837417603
113,23.288242,112.05286026000977
114,-5.7099133,109.82532262802124
115,-9.120848,110.44690036773682

mean_psnr,6.648019,mean_time,118.47252248227596
std_psnr,14.194234,std_time,10.7868220495477
