idx,psnr,elapsed_time
100,29.32725,111.26176834106445
101,29.361383,111.26354384422302
102,31.782215,111.27170515060425
103,29.882847,111.29498863220215
104,29.83507,111.31717300415039
105,29.167294,111.22333717346191
106,28.864368,111.53946495056152
107,29.44445,111.94695830345154
108,27.494858,112.17813563346863
109,30.385742,112.03791093826294
110,30.763248,111.94855189323425
111,31.234205,111.79869532585144
112,30.964146,111.76266860961914
113,28.511276,111.68685555458069
114,31.0901,111.44596028327942
115,30.459042,111.4307050704956

mean_psnr,29.91047,mean_time,111.58802641928196
std_psnr,1.0987589,std_time,0.3107851502725979
