idx,psnr,elapsed_time
100,31.436033,110.12921190261841
101,32.089954,112.375479221344
102,33.26819,112.89582562446594
103,31.501081,112.49565720558167
104,31.9825,111.98237419128418
105,30.961344,112.05682325363159
106,31.01269,112.05976629257202
107,31.155182,112.08537602424622
108,29.286356,112.58877205848694
109,32.191284,112.5131025314331
110,33.243088,112.534024477005
111,33.13739,112.47841024398804
112,32.23731,112.03472471237183
113,28.82081,112.16616749763489
114,33.419415,111.62280535697937
115,32.436386,111.43476057052612

mean_psnr,31.761189,mean_time,112.09083007276058
std_psnr,1.2905085,std_time,0.6217910350850225
