idx,psnr,elapsed_time
100,21.960526,11.17000937461853
101,22.038546,11.24967336654663
102,18.588135,11.257510423660278
103,22.284193,11.253727912902832
104,17.215187,11.26296615600586
105,22.821087,11.261765003204346
106,17.903006,11.268408298492432
107,18.847992,11.263806104660034
108,20.20084,11.264481782913208
109,20.870823,11.276204109191895
110,22.34549,11.26585078239441
111,22.046139,11.268280982971191
112,19.250908,11.277139663696289
113,21.958876,11.26547122001648
114,23.007446,11.268413782119751
115,22.13667,11.258203268051147

mean_psnr,20.842241,mean_time,11.258244514465332
std_psnr,1.8336034,std_time,0.023824185198873696
