idx,psnr,elapsed_time
100,30.839842,111.96077299118042
101,31.255878,111.89257955551147
102,31.575872,111.48914861679077
103,32.91158,111.7639582157135
104,31.298105,111.76242923736572
105,32.410183,111.44806814193726
106,28.746548,111.00014019012451
107,29.170986,111.25942182540894
108,31.98116,111.55889415740967
109,33.453377,111.94853448867798
110,33.750828,112.08358836174011
111,32.128048,112.20196008682251
112,32.327374,112.14142990112305
113,32.48481,111.52870845794678
114,33.229275,111.91048812866211
115,30.91772,111.54788088798523

mean_psnr,31.780102,mean_time,111.718625202775
std_psnr,1.360265,std_time,0.32324514846100866
