idx,psnr,elapsed_time
100,32.10543,112.17446875572205
101,33.150143,111.91193103790283
102,34.281235,112.04684782028198
103,32.143497,112.07123970985413
104,32.944473,111.88552904129028
105,31.523134,111.69336891174316
106,32.242535,111.61568713188171
107,32.18622,111.68443083763123
108,29.61892,111.72311401367188
109,32.153965,111.53171491622925
110,34.135468,111.48219895362854
111,34.18953,111.47509455680847
112,33.06296,111.53037357330322
113,29.193096,111.50888013839722
114,34.334526,111.55821084976196
115,33.739502,111.51316428184509

mean_psnr,32.56279,mean_time,111.71289090812206
std_psnr,1.4839932,std_time,0.2256242036685965
