idx,psnr,elapsed_time
100,22.751139,11.176592588424683
101,22.877052,11.195971488952637
102,19.189093,11.20254373550415
103,23.865938,11.20203709602356
104,17.093628,11.202387809753418
105,23.69572,11.21414852142334
106,18.387466,11.211477279663086
107,19.243248,11.220987558364868
108,20.934381,11.218022108078003
109,22.41252,11.218164920806885
110,24.047136,11.210329532623291
111,24.485996,11.216184377670288
112,20.003479,11.226015329360962
113,23.580048,11.241994857788086
114,24.710238,11.2399742603302
115,23.278387,11.240168333053589

mean_psnr,21.909718,mean_time,11.214812487363815
std_psnr,2.3361688,std_time,0.016803056772493562
