idx,psnr,elapsed_time
100,-4.0032635,109.37498044967651
101,-4.467158,109.38510775566101
102,-6.288857,109.1801655292511
103,-3.2501063,109.27924942970276
104,26.510439,111.49815559387207
105,-3.322842,109.39580583572388
106,-4.70833,109.25420761108398
107,-2.011753,109.43837022781372
108,27.19423,111.30430793762207
109,29.00808,111.41642022132874
110,30.642933,111.4744040966034
111,30.622904,111.11073780059814
112,-3.535132,109.52073216438293
113,29.375124,111.37192988395691
114,-5.020867,109.23988270759583
115,28.357872,111.4028480052948

mean_psnr,10.318954,mean_time,110.22795657813549
std_psnr,16.36494,std_time,1.0118918272344917
