idx,psnr,elapsed_time
100,29.471302,11.172325372695923
101,29.212446,11.191968202590942
102,29.497978,11.19715142250061
103,30.298712,11.189152956008911
104,29.081963,11.19384479522705
105,28.571089,11.199711084365845
106,25.957787,11.206574201583862
107,27.779156,11.271825551986694
108,26.457226,11.276229619979858
109,29.349857,11.273340463638306
110,31.190273,11.261885643005371
111,30.834621,11.244498014450073
112,30.378681,11.210936784744263
113,27.810514,11.202119588851929
114,31.09262,11.203674077987671
115,29.539978,11.211111545562744

mean_psnr,29.157763,mean_time,11.219146832823753
std_psnr,1.4890724,std_time,0.033158147708557066
