idx,psnr,elapsed_time
100,28.379063,11.198058128356934
101,28.418545,11.209995746612549
102,27.992794,11.205690145492554
103,31.022703,11.215060234069824
104,27.625086,11.223716735839844
105,30.738878,11.233359336853027
106,25.534653,11.211239337921143
107,25.683334,11.226834774017334
108,28.730179,11.243553638458252
109,30.691925,11.255002498626709
110,31.137806,11.250080823898315
111,29.640705,11.236852645874023
112,29.714272,11.243891716003418
113,30.144268,11.242698192596436
114,31.179962,11.252630710601807
115,28.465376,11.258495569229126

mean_psnr,29.068722,mean_time,11.231697514653206
std_psnr,1.7401615,std_time,0.018605534118543075
