idx,psnr,elapsed_time
100,21.083239,11.190160512924194
101,20.857342,11.178823709487915
102,16.464365,11.220272779464722
103,21.578453,11.24505090713501
104,16.394592,17.92314386367798
105,22.052452,16.767335653305054
106,16.5638,11.198094606399536
107,17.81221,11.223681211471558
108,19.894608,11.269168615341187
109,18.897015,22.01380443572998
110,23.129015,12.664049863815308
111,22.149494,11.29178762435913
112,17.957537,11.260291576385498
113,20.746479,11.269135236740112
114,21.137787,20.557512044906616
115,20.519526,14.125256061553955

mean_psnr,19.82737,mean_time,13.52484804391861
std_psnr,2.123696,std_time,3.5789692318183874
