idx,psnr,elapsed_time
100,24.845655,111.38746571540833
101,26.209732,111.85424995422363
102,-8.308634,109.38287234306335
103,27.063213,111.7534704208374
104,21.994831,111.59217143058777
105,28.061966,111.50604748725891
106,21.663553,111.90861463546753
107,21.581545,111.71294355392456
108,-6.846966,109.30541491508484
109,26.72864,111.72084140777588
110,27.966438,112.23989844322205
111,27.052212,112.33402276039124
112,25.545265,111.64413571357727
113,-4.763796,109.49661183357239
114,-7.0467796,109.62011218070984
115,25.629282,111.76673674583435

mean_psnr,17.33601,mean_time,111.20160059630871
std_psnr,14.054463,std_time,1.0376742555157137
