idx,psnr,elapsed_time
100,20.715494,11.00703477859497
101,25.183355,10.70065975189209
102,27.082565,10.772508382797241
103,23.979986,10.847476243972778
104,23.10086,10.924353122711182
105,20.38419,10.987562656402588
106,21.189156,11.028267621994019
107,17.159468,11.065465450286865
108,24.997225,11.094511985778809
109,19.866163,11.108651876449585
110,25.741224,11.131572008132935
111,23.358578,11.138227462768555
112,23.581617,11.15440821647644
113,21.05569,11.163171768188477
114,21.450079,11.144389629364014
115,25.662521,11.145524740219116

mean_psnr,8.385723,mean_time,11.025861606001854
std_psnr,5.220239,std_time,0.14021841705076413
