idx,psnr,elapsed_time
100,28.396387,11.284304141998291
101,28.388311,11.28716230392456
102,28.026493,11.29463791847229
103,30.813354,11.291168451309204
104,27.91529,11.298795223236084
105,30.516792,11.304365396499634
106,25.565376,11.301203489303589
107,25.534122,11.314755916595459
108,29.243269,11.320881605148315
109,30.5585,11.32438588142395
110,31.215393,11.321406364440918
111,29.968042,11.313123226165771
112,30.074863,11.28928542137146
113,30.145597,11.225599765777588
114,31.344093,11.229454517364502
115,28.634768,11.22368860244751

mean_psnr,29.14629,mean_time,11.289013639092445
std_psnr,1.7383062,std_time,0.03253638530801618
